part_num,name,part_cat_id,part_material
10101864,Sticker Sheet 1 for Set 21339-1,58,Plastic
10101865,Sticker Sheet 2 for Set 21339-1,58,Plastic
10101866,Sticker Sheet 3 for Set 21339-1,58,Plastic
10102067,Sticker Sheet for Set 71780-1,58,Plastic
10102069,Sticker Sheet for Set 71782-1,58,Plastic
10102070,Sticker Sheet for Set 71783-1,58,Plastic
10102072,Sticker Sheet for Set 71785-1,58,Plastic
10102073,Sticker Sheet for Set 71786-1,58,Plastic
10102077,Sticker Sheet for Set 43210-1,58,Plastic
10102078,Sticker Sheet for Set 43216-1,58,Plastic
10102079,Sticker Sheet for Set 43220-1,58,Plastic
